Starting vision analysis (1 photo at a time)
============================================================
SKIP _MG_4076.jpg (failed, 1 total skipped)
OK    1 | score=9 | 303 left | _MG_4025-Pano.jpg
OK   75 | score=9 | 219 left | 118A1895.jpg
OK   76 | score=8 | 218 left | 118A1894.jpg
OK   77 | score=8 | 217 left | 118A1889.jpg
OK   78 | score=7 | 216 left | 118A1841-Enhanced-NR.jpg
OK   79 | score=8 | 215 left | 118A1768.jpg
OK   80 | score=8 | 214 left | 118A1681.jpg
OK   81 | score=9 | 213 left | 118A1664.jpg
OK   82 | score=8 | 212 left | 118A1649.jpg
OK   83 | score=8 | 211 left | 118A1630.jpg
OK   84 | score=7 | 210 left | 118A1570.jpg
OK   85 | score=8 | 209 left | 118A1493.jpg
OK   86 | score=8 | 208 left | 118A1420.jpg
OK   87 | score=8 | 207 left | 118A1369.jpg
OK   88 | score=6 | 206 left | 118A1346.jpg
OK   89 | score=6 | 205 left | 118A1345.jpg
OK   90 | score=8 | 204 left | 118A1323.jpg
OK   91 | score=9 | 203 left | Wolf 1631.jpg
OK   92 | score=9 | 202 left | Wolf 1629.jpg
OK   93 | score=9 | 201 left | Wolf 1627.jpg
OK   94 | score=5 | 200 left | Wolf 1626.jpg
OK   95 | score=8 | 199 left | Wolf 1625.jpg
OK   96 | score=9 | 198 left | 118A5037-2.jpg
OK   97 | score=9 | 197 left | 118A5031-2.jpg
OK   98 | score=9 | 196 left | 118A5029.jpg
OK   99 | score=9 | 195 left | 118A5010.jpg
OK  100 | score=7 | 194 left | 118A4952-2.jpg
OK  101 | score=8 | 193 left | 118A4439.jpg
OK  102 | score=8 | 192 left | 118A4436.jpg
OK  103 | score=8 | 191 left | Wolf 924.jpg
OK  104 | score=8 | 190 left | Wolf 847.jpg
OK  105 | score=7 | 189 left | Wolf 839.jpg
OK  106 | score=8 | 188 left | Wolf 837.jpg
OK  107 | score=8 | 187 left | Wolf 819.jpg
OK  108 | score=8 | 186 left | Wolf 1049.jpg
OK  109 | score=7 | 185 left | Wolf 1028.jpg
OK  110 | score=6 | 184 left | Wolf 1018.jpg
OK  111 | score=7 | 183 left | Wolf 1013.jpg
OK  112 | score=7 | 182 left | 118A0153.jpg
OK  113 | score=8 | 181 left | 118A0083.jpg
OK  114 | score=8 | 180 left | 118A0069.jpg
OK  115 | score=9 | 179 left | Wolf 515.jpg
OK  116 | score=8 | 178 left | Wolf 514.jpg
OK  117 | score=8 | 177 left | Wolf 513.jpg
OK  118 | score=8 | 176 left | Wolf 512.jpg
OK  119 | score=9 | 175 left | Wolf 509.jpg
OK  120 | score=9 | 174 left | Wolf 508.jpg
OK  121 | score=8 | 173 left | Wolf 504.jpg
OK  122 | score=9 | 172 left | Wolf 503.jpg
OK  123 | score=9 | 171 left | IMG_0208 (1).jpg
OK  124 | score=8 | 170 left | 118A2640.jpg
OK  125 | score=6 | 169 left | 118A2570.jpg
OK  126 | score=7 | 168 left | 118A2542.jpg
OK  127 | score=7 | 167 left | 118A2490.jpg
OK  128 | score=8 | 166 left | 118A2448.jpg
SKIP Wolf 4783.jpg (failed, 12 total skipped)
SKIP Wolf 4008.jpg (failed, 13 total skipped)
SKIP Wolf 3992.jpg (failed, 14 total skipped)
OK  129 | score=8 | 162 left | Wolf 3987.jpg
OK  130 | score=7 | 161 left | Wolf 3986.jpg
OK  131 | score=8 | 160 left | Wolf 2908.jpg
OK  132 | score=8 | 159 left | Wolf 2903.jpg
OK  133 | score=7 | 158 left | Wolf 2893.jpg
OK  134 | score=6 | 157 left | Wolf 2879.jpg
OK  135 | score=8 | 156 left | Wolf 2784.jpg
OK  136 | score=8 | 155 left | Wolf 2781.jpg
OK  137 | score=8 | 154 left | Wolf 2775.jpg
OK  138 | score=9 | 153 left | Wolf 2267.jpg
OK  139 | score=6 | 152 left | Wolf 2259.jpg
OK  140 | score=8 | 151 left | Wolf 2251.jpg
OK  141 | score=8 | 150 left | Wolf 2248.jpg
OK  142 | score=9 | 149 left | Wolf 2247.jpg
OK  143 | score=8 | 148 left | Wolf 2245.jpg
OK  144 | score=8 | 147 left | Wolf 2195.jpg
OK  145 | score=8 | 146 left | Wolf 2144.jpg
OK  146 | score=8 | 145 left | Wolf 2141.jpg
OK  147 | score=8 | 144 left | Wolf 2123.jpg
OK  148 | score=7 | 143 left | Wolf 1975.jpg
OK  149 | score=8 | 142 left | Wolf 1602.jpg
OK  150 | score=8 | 141 left | Wolf 1591.jpg
OK  151 | score=8 | 140 left | 118A5599.jpg
OK  152 | score=8 | 139 left | 118A5493.jpg
OK  153 | score=8 | 138 left | 118A0083.jpg
OK  154 | score=9 | 137 left | 118A8990.jpg
OK  155 | score=8 | 136 left | WOLF7470.jpg
OK  156 | score=8 | 135 left | WOLF7451.jpg
OK  157 | score=9 | 134 left | WOLF7450.jpg
OK  158 | score=9 | 133 left | WOLF7406-Pano.jpg
OK  159 | score=9 | 132 left | WOLF7301.jpg
OK  160 | score=9 | 131 left | WOLF7271-Pano.jpg
OK  161 | score=9 | 130 left | WOLF7261-Pano.jpg
OK  162 | score=8 | 129 left | WOLF6872-Pano.jpg
OK  163 | score=8 | 128 left | WOLF6797-Pano.jpg
OK  164 | score=9 | 127 left | WOLF6651.jpg
OK  165 | score=8 | 126 left | WOLF6535-Pano.jpg
OK  166 | score=9 | 125 left | WOLF4924.jpg
OK  167 | score=8 | 124 left | WOLF4872-Pano.jpg
OK  168 | score=9 | 123 left | WOLF4838-Pano.jpg
OK  169 | score=8 | 122 left | WOLF4783-Pano.jpg
OK  170 | score=8 | 121 left | WOLF4745-Pano.jpg
OK  171 | score=8 | 120 left | WOLF4712-Pano.jpg
OK  172 | score=8 | 119 left | WOLF4675-Pano.jpg
OK  173 | score=9 | 118 left | WOLF4557-Pano.jpg
OK  174 | score=9 | 117 left | WOLF4530-Pano.jpg
OK  175 | score=9 | 116 left | WOLF4460-Pano.jpg
OK  176 | score=9 | 115 left | WOLF4448-Edit.jpg
OK  177 | score=8 | 114 left | WOLF4438-Edit.jpg
OK  178 | score=9 | 113 left | WOLF4427-Pano.jpg
OK  179 | score=8 | 112 left | WOLF4187-Pano.jpg
OK  180 | score=8 | 111 left | WOLF3921-Pano.jpg
OK  181 | score=8 | 110 left | WOLF3768-Pano.jpg
OK  182 | score=8 | 109 left | WOLF3753-Edit.jpg
OK  183 | score=8 | 108 left | WOLF3746-Edit.jpg
OK  184 | score=9 | 107 left | WOLF3592-Pano.jpg
OK  185 | score=9 | 106 left | WOLF3537-Pano.jpg
OK  186 | score=9 | 105 left | WOLF3501-Pano.jpg
OK  187 | score=8 | 104 left | WOLF3446-Edit.jpg
OK  188 | score=9 | 103 left | WOLF3219-Pano.jpg
OK  189 | score=9 | 102 left | WOLF3044-Pano.jpg
OK  190 | score=8 | 101 left | WOLF2997-Pano.jpg
OK  191 | score=8 | 100 left | WOLF2943-Pano.jpg
OK  192 | score=8 | 99 left | WOLF2901-Pano.jpg
OK  193 | score=9 | 98 left | WOLF2492-Pano.jpg
OK  194 | score=8 | 97 left | WOLF2375-Pano.jpg
OK  195 | score=8 | 96 left | Wolf 538.jpg
OK  196 | score=8 | 95 left | Wolf 537.jpg
OK  197 | score=8 | 94 left | Wolf 536.jpg
OK  198 | score=8 | 93 left | Wolf 535.jpg
OK  199 | score=7 | 92 left | Wolf 534.jpg
OK  200 | score=8 | 91 left | Wolf 533.jpg
OK  201 | score=8 | 90 left | Wolf 527.jpg
OK  202 | score=8 | 89 left | IMG_0179-2.jpg
OK  203 | score=9 | 88 left | IMG_0175-2.jpg
OK  204 | score=9 | 87 left | IMG_0156-2.jpg
OK  205 | score=8 | 86 left | IMG_0075-4.jpg
OK  206 | score=9 | 85 left | 118A6204.jpg
OK  207 | score=9 | 84 left | 118A6194.jpg
OK  208 | score=9 | 83 left | 118A6183-Enhanced-NR.jpg
OK  209 | score=8 | 82 left | WOLF5076.jpg
OK  210 | score=8 | 81 left | WOLF5060-Pano.jpg
OK  211 | score=9 | 80 left | WOLF4944.jpg
OK  212 | score=9 | 79 left | WOLF4924.jpg
OK  213 | score=8 | 78 left | WOLF4890-Pano.jpg
OK  214 | score=8 | 77 left | WOLF4872-Pano.jpg
OK  215 | score=9 | 76 left | WOLF4838-Pano.jpg
OK  216 | score=8 | 75 left | WOLF4783-Pano.jpg
OK  217 | score=7 | 74 left | WOLF4775.jpg
OK  218 | score=8 | 73 left | WOLF4749-Pano.jpg
OK  219 | score=8 | 72 left | WOLF4745-Pano.jpg
OK  220 | score=8 | 71 left | WOLF4712-Pano.jpg
OK  221 | score=7 | 70 left | WOLF4663-Pano.jpg
OK  222 | score=8 | 69 left | WOLF4635.jpg
OK  223 | score=7 | 68 left | WOLF4631.jpg
OK  224 | score=8 | 67 left | WOLF4569.jpg
OK  225 | score=9 | 66 left | WOLF4557-Pano.jpg
OK  226 | score=9 | 65 left | WOLF4556.jpg
OK  227 | score=9 | 64 left | WOLF4530-Pano.jpg
OK  228 | score=9 | 63 left | WOLF4460-Pano.jpg
OK  229 | score=9 | 62 left | WOLF4448-Edit.jpg
OK  230 | score=8 | 61 left | WOLF4438-Edit.jpg
OK  231 | score=9 | 60 left | WOLF4427-Pano.jpg
OK  232 | score=8 | 59 left | WOLF4419.jpg
OK  233 | score=8 | 58 left | WOLF4418.jpg
OK  234 | score=8 | 57 left | WOLF4389.jpg
OK  235 | score=8 | 56 left | WOLF4365.jpg
OK  236 | score=8 | 55 left | WOLF4324.jpg
OK  237 | score=8 | 54 left | WOLF4306.jpg
OK  238 | score=8 | 53 left | WOLF4298.jpg
OK  239 | score=8 | 52 left | WOLF4228-Pano.jpg
OK  240 | score=8 | 51 left | WOLF4187-Pano.jpg
OK  241 | score=8 | 50 left | WOLF4163.jpg
OK  242 | score=8 | 49 left | WOLF4133-Edit.jpg
OK  243 | score=8 | 48 left | WOLF4132-Edit.jpg
OK  244 | score=9 | 47 left | WOLF4127-Edit.jpg
OK  245 | score=8 | 46 left | WOLF4123-Edit.jpg
OK  246 | score=8 | 45 left | WOLF4122-Edit.jpg
OK  247 | score=8 | 44 left | WOLF4120-Edit.jpg
OK  248 | score=8 | 43 left | WOLF4086.jpg
OK  249 | score=8 | 42 left | WOLF4025.jpg
OK  250 | score=8 | 41 left | WOLF3979.jpg
OK  251 | score=8 | 40 left | WOLF3972.jpg
OK  252 | score=8 | 39 left | WOLF3969.jpg
OK  253 | score=8 | 38 left | WOLF3963.jpg
OK  254 | score=8 | 37 left | WOLF3955.jpg
OK  255 | score=8 | 36 left | WOLF3950.jpg
OK  256 | score=9 | 35 left | WOLF3921-Pano.jpg
OK  257 | score=9 | 34 left | WOLF3859.jpg
OK  258 | score=9 | 33 left | WOLF3850-Pano.jpg
OK  259 | score=8 | 32 left | WOLF3768-Pano.jpg
OK  260 | score=8 | 31 left | WOLF3753-Edit.jpg
OK  261 | score=8 | 30 left | WOLF3746-Edit.jpg
OK  262 | score=8 | 29 left | WOLF3710.jpg
OK  263 | score=8 | 28 left | WOLF3700.jpg
OK  264 | score=8 | 27 left | WOLF3293.jpg
OK  265 | score=9 | 26 left | WOLF3249.jpg
OK  266 | score=9 | 25 left | WOLF3245.jpg
OK  267 | score=8 | 24 left | WOLF3088.jpg
OK  268 | score=8 | 23 left | WOLF3058.jpg
OK  269 | score=9 | 22 left | WOLF3044-Pano.jpg
OK  270 | score=9 | 21 left | WOLF3043.jpg
OK  271 | score=9 | 20 left | WOLF2997-Pano.jpg
OK  272 | score=8 | 19 left | WOLF2970.jpg
OK  273 | score=8 | 18 left | WOLF2943-Pano.jpg
OK  274 | score=8 | 17 left | WOLF2901-Pano.jpg
OK  275 | score=8 | 16 left | DJI_20250802232350_0025_D.jpg
OK  276 | score=8 | 15 left | Wolf 67.jpg
OK  277 | score=9 | 14 left | Wolf 65.jpg
SKIP WOLF6698-Pano.jpg (failed, 15 total skipped)
OK  278 | score=8 | 12 left | WOLF6535-Pano.jpg
SKIP Wolf 5180.jpg (failed, 16 total skipped)
SKIP 118A2341.jpg (failed, 17 total skipped)
SKIP _MG_0003-Enhanced-NR.jpg (failed, 18 total skipped)
SKIP 118A2840.jpg (failed, 19 total skipped)
SKIP G0017902.JPG (failed, 20 total skipped)
SKIP G0017492.JPG (failed, 21 total skipped)
SKIP 118A2428.jpg (failed, 22 total skipped)
SKIP 118A1244.jpg (failed, 23 total skipped)
SKIP 118A1203.jpg (failed, 24 total skipped)
SKIP 118A1097.jpg (failed, 25 total skipped)
SKIP 118A1065.jpg (failed, 26 total skipped)
SKIP 118A1024.jpg (failed, 27 total skipped)

============================================================
DONE! Analyzed: 278, Failed: 27
